# Time	Cwnd
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	6968
150	5896
151	5896
152	5896
153	5896
154	6968
155	6968
156	6968
157	5896
158	5896
159	5896
160	5896
161	5896
162	5896
163	5896
164	5896
165	5896
166	5896
167	5896
168	5896
169	5896
170	5896
171	5896
172	5896
173	5896
174	5896
175	5896
176	6968
177	6968
178	6968
179	6968
180	5896
181	5896
182	5896
183	5896
184	5896
185	8040
186	8040
187	8040
188	8040
189	8040
190	8040
191	8040
192	6968
193	6968
194	6968
195	6968
196	6968
197	6968
198	6968
199	6968
200	5896
201	5896
202	8040
203	8040
204	8040
205	8040
206	9112
207	9112
208	9112
209	9112
210	9112
211	9112
212	9112
213	9112
214	9112
215	9112
216	5896
217	5896
218	5896
219	5896
220	8040
221	8040
222	8040
223	8040
224	8040
225	8040
226	8040
227	8040
228	8040
229	8040
230	8040
231	8040
232	6968
233	6968
234	6968
235	5896
236	5896
237	9112
238	9112
239	9112
240	9112
241	9112
242	9112
243	9112
244	6968
245	6968
246	6968
247	6968
248	6968
249	6968
250	6968
251	10184
252	10184
253	10184
254	10184
255	10184
256	9112
257	9112
258	8040
259	8040
260	8040
261	8040
262	8040
263	10184
264	10184
265	10184
266	10184
267	10184
268	10184
269	10184
270	8040
271	8040
272	10184
273	10184
274	10184
275	10184
276	10184
277	10184
278	10184
279	10184
280	10184
281	10184
282	10184
283	10184
284	9112
285	9112
286	8040
287	8040
288	8040
289	10184
290	10184
291	10184
292	9112
293	9112
294	9112
295	9112
296	9112
297	9112
298	6968
299	6968
300	6968
301	6968
302	6968
303	6968
304	6968
305	6968
306	6968
307	6968
308	10184
309	10184
310	10184
311	10184
312	6968
313	6968
314	6968
315	6968
316	6968
317	10184
318	10184
319	10184
320	8040
321	8040
322	9112
323	9112
324	9112
325	9112
326	9112
327	9112
328	9112
329	9112
330	9112
331	8040
332	8040
333	8040
334	10184
335	10184
336	9112
337	9112
338	9112
339	9112
340	9112
341	9112
342	9112
343	9112
344	9112
345	9112
346	9112
347	9112
348	10184
349	10184
350	10184
351	10184
352	10184
353	10184
354	10184
355	10184
356	10184
357	10184
358	10184
359	10184
360	10184
361	10184
362	10184
363	10184
364	10184
365	10184
366	10184
367	11256
368	11256
369	11256
370	11256
371	12328
372	12328
373	12328
374	12328
375	12328
376	13400
377	13400
378	13400
379	13400
380	13400
381	11256
382	11256
383	11256
384	11256
385	11256
386	11256
387	11256
388	11256
389	11256
390	12328
391	12328
392	12328
393	12328
394	12328
395	13400
396	13400
397	13400
398	13400
399	13400
400	13400
401	13400
402	11256
403	11256
404	11256
405	11256
406	11256
407	11256
408	11256
409	11256
410	11256
411	11256
412	11256
413	11256
414	11256
415	11256
416	11256
417	11256
418	11256
419	12328
420	12328
421	12328
422	12328
423	13400
424	13400
425	13400
426	13400
427	13400
428	13400
429	13400
430	13400
431	13400
432	13400
433	11256
434	11256
435	14472
436	14472
437	14472
438	14472
439	14472
440	15544
441	15544
442	14472
443	14472
444	14472
445	14472
446	14472
447	15544
448	15544
449	12328
450	12328
451	12328
452	12328
453	12328
454	13400
