# Time	Cwnd
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	5413
172	5413
173	5413
174	5413
175	5413
176	5413
177	5413
178	5413
179	5413
180	5413
181	5949
182	5949
183	5949
184	5949
185	5949
186	5949
187	5896
188	5896
189	5896
190	5896
191	5949
192	5949
193	5949
194	5949
195	5949
196	5413
197	5944
198	5944
199	5896
200	5896
201	5896
202	5896
203	5896
204	5896
205	5896
206	5949
207	5944
208	5944
209	6432
210	6432
211	6432
212	6432
213	6432
214	6432
215	6432
216	5466
217	6432
218	6432
219	6432
220	5896
221	6432
222	6432
223	6432
224	6432
225	6432
226	5466
227	5896
228	5896
229	5944
230	6432
231	6432
232	6432
233	6432
234	5896
235	5896
236	5466
237	6432
238	6432
239	5944
240	6432
241	5896
242	5896
243	5896
244	6432
245	6432
246	5949
247	6432
248	6432
249	6432
250	6432
251	6432
252	6432
253	6432
254	5944
255	5944
256	5949
257	6968
258	6968
259	6432
260	6968
261	6968
262	5896
263	5896
264	6432
265	6432
266	5949
267	6476
268	6476
269	6432
270	6968
271	6476
272	5944
273	5944
274	6432
275	6432
276	5949
277	6968
278	6968
279	6432
280	6968
281	6968
282	6432
283	6432
284	6432
285	6432
286	5949
287	6968
288	6968
289	6432
290	6968
291	6968
292	6432
293	6432
294	6968
295	6968
296	5949
297	6968
298	6968
299	5944
300	6968
301	6968
302	6432
303	6432
304	6968
305	6968
306	5466
307	7504
308	7504
309	6480
310	6968
311	6968
312	6432
313	6432
314	6968
315	6968
316	5949
317	7504
318	7504
319	6480
320	6968
321	6968
322	6432
323	6432
324	6968
325	6968
326	5949
327	7504
328	7504
329	6480
330	7504
331	6968
332	6432
333	6432
334	6968
335	6968
336	5949
337	7504
338	7504
339	6480
340	7504
341	7504
342	6432
343	6432
344	6968
345	6968
346	5949
347	5896
348	5896
349	6480
350	7504
351	7504
352	6432
353	6432
354	6968
355	6968
356	6485
357	6432
358	6432
359	6480
360	7504
361	7504
362	6432
363	6432
364	6968
365	6968
366	6485
367	6432
368	6432
369	6480
370	7504
371	7504
372	6432
373	6432
374	6968
375	6968
376	6485
377	6432
378	6432
379	6480
380	8040
381	7504
382	6968
383	6968
384	6968
385	6968
386	5997
387	6432
388	6432
389	6480
390	5896
391	7504
392	6968
393	6968
394	6968
395	6968
396	6485
397	6432
398	6432
399	6480
400	6432
401	7504
402	6968
403	6968
404	6968
405	6968
406	6485
407	6432
408	6432
409	6480
410	6432
411	8040
412	6968
413	6968
414	6968
415	6968
416	6485
417	6432
418	6432
419	6480
420	6432
421	8040
422	6968
423	6968
424	6968
425	6968
426	6485
427	6968
428	6968
429	6480
430	6432
431	8040
432	6968
433	6968
434	6968
435	6968
436	7021
437	6968
438	6968
439	7016
440	6432
441	8040
442	6968
443	6968
444	7504
445	7504
446	7021
447	6968
448	6968
449	7016
450	6432
451	8040
452	6968
453	6968
454	7504
455	7504
456	7021
457	6968
458	6968
