# Time	Intantaneous Throughput
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	536
130	0
131	536
132	0
133	0
134	536
135	0
136	536
137	0
138	0
139	536
140	0
141	536
142	0
143	0
144	536
145	0
146	536
147	0
148	536
149	0
150	0
151	536
152	0
153	536
154	0
155	536
156	0
157	0
158	536
159	0
160	536
161	0
162	0
163	536
164	0
165	536
166	0
167	536
168	0
169	0
170	536
171	0
172	536
173	0
174	536
175	0
176	0
177	536
178	0
179	536
180	0
181	536
182	0
183	0
184	536
185	0
186	536
187	0
188	0
189	536
190	0
191	536
192	0
193	536
194	0
195	0
196	536
197	0
198	536
199	0
200	536
201	0
202	0
203	536
204	0
205	536
206	0
207	536
208	0
209	0
210	536
211	0
212	536
213	0
214	536
215	0
216	0
217	536
218	0
219	536
220	0
221	0
222	536
223	0
224	536
225	0
226	536
227	0
228	0
229	536
230	0
231	536
232	0
233	536
234	0
235	0
236	536
237	0
238	536
239	0
240	536
241	0
242	0
243	536
244	0
245	536
246	0
247	0
248	536
249	0
250	536
251	0
252	536
253	0
254	0
255	536
256	0
257	536
258	0
259	536
260	0
261	0
262	536
263	0
264	536
265	0
266	536
267	0
268	0
269	536
270	0
271	536
272	0
273	536
274	0
275	0
276	536
277	0
278	536
279	0
280	0
281	536
282	0
283	536
284	0
285	536
286	0
287	0
288	536
289	0
290	536
291	0
292	536
293	0
294	0
295	536
296	0
297	536
298	0
299	536
300	0
301	0
302	536
303	0
304	536
305	0
306	0
307	536
308	0
309	536
310	0
311	536
312	0
313	0
314	536
315	0
316	536
317	0
318	536
319	0
320	0
321	536
322	0
323	536
324	0
325	536
326	0
327	0
328	536
329	0
330	536
331	0
332	536
333	0
334	0
335	536
336	0
337	536
338	0
339	0
340	536
341	0
342	536
343	0
344	536
345	0
346	0
347	536
348	0
349	536
350	0
351	536
352	0
353	0
354	536
355	0
356	536
357	0
358	536
359	0
360	0
361	536
362	0
363	536
364	0
365	0
366	536
367	0
368	536
369	0
370	536
371	0
372	0
373	536
374	0
375	536
376	0
377	536
378	0
379	0
380	536
381	0
382	536
383	0
384	536
385	0
386	0
387	536
388	0
389	536
390	0
391	536
392	0
393	0
394	536
395	0
396	536
397	0
398	0
399	536
400	0
401	536
402	0
403	536
404	0
405	0
406	536
407	0
408	536
409	0
410	536
411	0
412	0
413	536
414	0
415	536
416	0
417	536
418	0
419	0
420	536
421	0
422	536
423	0
424	0
425	536
426	0
427	536
428	0
429	536
430	0
431	0
432	536
433	0
434	536
435	0
436	536
437	0
438	0
439	536
440	0
441	536
442	0
443	536
444	0
445	0
446	536
447	0
448	536
449	0
450	536
451	0
452	0
453	536
454	0
455	536
456	0
457	0
458	536
459	0
460	536
461	0
462	536
463	0
464	0
465	536
466	0
467	536
468	0
469	536
470	0
471	0
472	536
473	0
474	536
475	0
476	536
477	0
478	0
479	536
480	0
481	536
482	0
483	0
484	536
485	0
486	536
487	0
488	536
489	0
490	0
491	536
492	0
493	536
494	0
495	536
496	0
497	0
498	536
499	0
500	536
501	0
502	536
503	0
504	0
505	536
506	0
507	536
508	0
509	536
510	0
511	0
512	536
513	0
514	536
515	0
516	0
517	536
518	0
519	536
520	0
521	536
522	0
523	0
524	536
525	0
526	536
527	0
528	536
529	0
